"start","stop","MGgene"
190,255,"thrL"
337,2799,"thrA"
2801,3733,"thrB"
3734,5020,"thrC"
5234,5530,"yaaX"
5683,6459,"yaaA"
6529,7959,"yaaJ"
8238,9191,"talB"
9306,9893,"mog"
9928,10494,"satP"
10643,11356,"yaaW"
11382,11786,"yaaI"
12163,14079,"dnaK"
14168,15298,"dnaJ"
15445,16557,"insL1"
16751,16960,"mokC"
16751,16903,"hokC"
16952,17006,"sokC"
17489,18655,"nhaA"
18715,19620,"nhaR"
19811,20314,"insB1"
20233,20508,"insA"
20815,21078,"rpsT"
21181,21399,"yaaY"
21407,22348,"ribF"
22391,25207,"ileS"
25207,25701,"lspA"
25826,26275,"fkpB"
26277,27227,"ispH"
27293,28207,"rihC"
28374,29195,"dapB"
29651,30799,"carA"
30817,34038,"carB"
34300,34695,"caiF"
34781,35371,"caiE"
35377,36162,"caiD"
36271,37824,"caiC"
37898,39115,"caiB"
39244,40386,"caiA"
40417,41931,"caiT"
42403,43173,"fixA"
43188,44129,"fixB"
44180,45466,"fixC"
45463,45750,"fixX"
45807,47138,"yaaU"
47246,47776,"kefF"
47769,49631,"kefC"
49823,50302,"folA"
50380,51222,"apaH"
51229,51606,"apaG"
51609,52430,"rsmA"
52427,53416,"pdxA"
53416,54702,"surA"
54755,57109,"lptD"
57364,58179,"djlA"
58474,59279,"yabP"
59687,60346,"rluA"
60358,63264,"rapA"
63429,65780,"polB"
65855,66550,"araD"
66835,68337,"araA"
68348,70048,"araB"
70387,71265,"araC"
71351,72115,"yabI"
72229,72927,"thiQ"
72911,74521,"thiP"
74497,75480,"thiB"
75644,77299,"sgrR"
77367,77593,"sgrS"
77388,77519,"sgrT"
77621,78799,"setA"
78848,79453,"leuD"
79464,80864,"leuC"
80867,81958,"leuB"
81958,83529,"leuA"
83622,83708,"leuL"
84368,85312,"leuO"
85630,87354,"ilvI"
87357,87848,"ilvH"
88028,89032,"cra"
89634,90092,"mraZ"
90094,91035,"rsmH"
91032,91397,"ftsL"
91413,93179,"ftsI"
93166,94653,"murE"
94650,96008,"murF"
96002,97084,"mraY"
97087,98403,"murD"
98403,99647,"ftsW"
99644,100711,"murG"
100765,102240,"murC"
102233,103153,"ddlB"
103155,103985,"ftsQ"
103982,105244,"ftsA"
105305,106456,"ftsZ"
